"place_ID","longitude","latitude","population","cumulative_cases_today","adj_case_rate","cumulative_deaths_today","adj_death_rate","cumulative_persons_tested_today","adj_test_rate","cumulative_persons_pos_today","adj_test_pos_rate","geo_merge"
"Park La Brea",-118.355627,34.069731,13580,214,1297,1,8,4730,31280,204,1236,"Los Angeles - Park La Brea"
"Pico Union",-118.280491,34.045762,41842,2580,6147,100,286,14854,34716,2469,5864,"Los Angeles - Pico-Union"
"Playa Del Rey",-118.446368,33.961018,3196,49,1710,0,0,1266,42886,44,1547,"Los Angeles - Playa Del Rey"
"Playa Vista",-118.414497,33.979496,10947,211,1924,0,0,5468,49136,191,1704,"Los Angeles - Playa Vista"
"Porter Ranch",-118.557024,34.279694,35588,760,2263,7,11,12357,35319,701,2090,"Los Angeles - Porter Ranch"
"Rancho Park",-118.429114,34.036458,6560,138,2390,0,0,3454,57653,132,2300,"Los Angeles - Rancho Park"
"Regent Square",-118.38321,34.03281,2780,58,2017,0,0,965,32781,58,2009,"Los Angeles - Regent Square"
"Reseda",-118.538571,34.198926,76617,4131,5278,109,129,33132,41871,4047,5182,"Los Angeles - Reseda"
"Reseda Ranch",-118.552574,34.21498,4636,221,4571,1,23,1857,38694,214,4390,"Los Angeles - Reseda Ranch"
"Reynier Village",-118.387153,34.036336,4228,69,1747,0,0,1703,40367,65,1650,"Los Angeles - Reynier Village"
"San Pedro",-118.284679,33.736684,78038,2721,3496,30,35,20450,25878,2357,3028,"Los Angeles - San Pedro"
"Shadow Hills",-118.359629,34.254439,4442,132,3081,0,0,1696,37110,127,2993,"Los Angeles - Shadow Hills"
"Sherman Oaks",-118.439071,34.15242,87254,2036,2542,32,31,40391,48116,1871,2343,"Los Angeles - Sherman Oaks"
"South Carthay",-118.374921,34.056936,10595,216,2488,2,12,4674,50576,182,2018,"Los Angeles - South Carthay"
"South Park",-118.274297,33.999717,37961,2887,7751,33,134,13626,36904,2826,7582,"Los Angeles - South Park"
"St Elmo Village",-118.342305,34.042791,4584,220,4875,8,264,1907,41469,210,4643,"Los Angeles - St Elmo Village"
"Studio City",-118.389205,34.137441,22440,458,2369,11,41,11973,56768,400,2074,"Los Angeles - Studio City"
"Sun Valley",-118.355481,34.227522,52483,3049,5664,37,67,20062,37320,3018,5616,"Los Angeles - Sun Valley"
"Sunland",-118.329287,34.255065,20408,803,3976,31,107,7545,36017,730,3632,"Los Angeles - Sunland"
"Sycamore Square",-118.343701,34.058007,647,9,1650,0,0,351,64020,8,1571,"Los Angeles - Sycamore Square"
"Sylmar",-118.447155,34.313096,82398,5857,7016,106,153,36173,43274,5773,6902,"Los Angeles - Sylmar"
"Tarzana",-118.549107,34.156974,30876,1258,4017,39,79,14244,45584,1166,3744,"Los Angeles - Tarzana"
"Temple Beaudry",-118.26774,34.069826,39482,1901,4666,33,93,16004,37910,1885,4623,"Los Angeles - Temple-Beaudry"
"Thai Town",-118.304431,34.102003,9809,311,3049,4,29,3894,37380,300,2975,"Los Angeles - Thai Town"
"Toluca Lake",-118.357673,34.15055,8704,186,2535,2,20,4342,55146,171,2371,"Los Angeles - Toluca Lake"
"Toluca Terrace",-118.35844,34.166653,1306,40,3294,1,72,545,42603,41,3340,"Los Angeles - Toluca Terrace"
"Toluca Woods",-118.357555,34.159662,1858,40,2348,0,0,875,54088,36,2168,"Los Angeles - Toluca Woods"
"Tujunga",-118.288497,34.25113,27810,943,3355,18,54,8975,31138,858,3058,"Los Angeles - Tujunga"
"University Hills",-118.168371,34.068093,3429,89,2548,1,19,1166,33869,88,2571,"Los Angeles - University Hills"
"University Park",-118.278835,34.027991,27456,1565,5824,24,161,10061,32687,1421,5436,"Los Angeles - University Park"
"Valley Glen",-118.426504,34.182525,30016,1269,4153,21,70,10785,35185,1183,3888,"Los Angeles - Valley Glen"
"Valley Village",-118.395153,34.163461,24720,771,3160,30,99,11895,49300,697,2857,"Los Angeles - Valley Village"
"Van Nuys",-118.462798,34.201032,93194,5433,5818,113,150,33705,35584,5143,5476,"Los Angeles - Van Nuys"
"Venice",-118.462067,33.993791,33885,594,2232,4,11,15049,49245,513,1934,"Los Angeles - Venice"
"Vermont Knolls",-118.294776,33.968255,17200,1026,5911,19,122,6308,36556,1016,5856,"Los Angeles - Vermont Knolls"
"Vermont Square",-118.298043,33.999376,7657,518,6653,6,81,3169,41257,502,6452,"Los Angeles - Vermont Square"
"Vermont Vista",-118.282068,33.954326,41186,2807,6921,26,89,14765,36806,2816,6948,"Los Angeles - Vermont Vista"
"Vernon Central",-118.251565,34.000396,51998,4292,8365,47,131,20951,41354,4251,8246,"Los Angeles - Vernon Central"
"Victoria Park",-118.32462,34.044,8399,362,4175,3,29,2636,30522,355,4114,"Los Angeles - Victoria Park"
"View Heights",-118.348176,33.984966,3694,78,2094,3,63,1304,35105,77,2140,"Los Angeles - View Heights"
"Watts",-118.241149,33.940452,42674,2844,6959,39,149,15754,39135,2858,6975,"Los Angeles - Watts"
"Wellington Square",-118.333492,34.035815,4915,200,4095,3,65,1988,40137,202,4141,"Los Angeles - Wellington Square"
"West Adams",-118.307847,34.035612,27630,1369,4880,45,158,11147,39386,1292,4607,"Los Angeles - West Adams"
"West Hills",-118.63607,34.211472,40545,992,2534,49,77,15562,39657,874,2292,"Los Angeles - West Hills"
"West Los Angeles",-118.450481,34.040753,37636,842,2269,19,54,18331,47621,781,2111,"Los Angeles - West Los Angeles"
"West Vernon",-118.300192,34.000114,53644,3533,6559,57,135,21253,39428,3439,6397,"Los Angeles - West Vernon"
"Westchester",-118.40607,33.952357,51603,777,1420,21,37,19683,36848,700,1281,"Los Angeles - Westchester"
"Westlake",-118.272224,34.057208,59355,3257,5512,157,309,20799,34207,3070,5167,"Los Angeles - Westlake"
"Westwood",-118.438137,34.065931,54109,864,1297,6,12,26853,40225,806,1192,"Los Angeles - Westwood"
"Wholesale District",-118.233106,34.041547,36129,3147,7688,37,123,32364,77095,2903,7111,"Los Angeles - Wholesale District"
"Wilmington",-118.253276,33.785869,56487,2742,4826,28,62,15775,28019,2470,4334,"Los Angeles - Wilmington"
"Wilshire Center",-118.295338,34.068376,50170,1761,3409,39,76,17362,33334,1705,3313,"Los Angeles - Wilshire Center"
"Winnetka",-118.575929,34.213111,51786,2352,4437,28,56,19409,36379,2350,4438,"Los Angeles - Winnetka"
"Woodland Hills",-118.604522,34.16635,68055,1721,2598,35,31,29432,42690,1621,2469,"Los Angeles - Woodland Hills"
