,CITY,ASIAN,BLACK,LATINO,WHITE,NON.WHITE,TOTAL.POP,TOTAL.CASES
0,Agoura Hills,0.0071423583114830075,0.006150364101554812,0.02881884893299969,0.012538423434087587,0.02259901228013164,20883,344
1,Alhambra,0.00559477208722363,0.008309416064095512,0.02139850187548202,0.009104229774574212,0.016518579312568525,86724,2224
2,Arcadia,0.005449307010379558,0.007082019225321524,0.020792999207004607,0.008856917343826423,0.016069975506257217,57754,942
3,Arleta,0.014923276800449454,0.023409061647763848,0.058628762139430864,0.02462828360858488,0.0452775211680755,34370,2697
4,Artesia,0.009511422554900815,0.014245014245014245,0.03634311728306507,0.01543794647242923,0.02808798478622565,16795,684
5,Atwater Village,0.006137194947315592,0.00479772779611576,0.024222446378050325,0.009984460548673338,0.018648237603411385,14666,456
6,Avalon,0.0,0.0,0.0013727797004320138,0.0,0.0006237431575375618,3869,5
7,Azusa,0.010058322175301268,0.01590398235718224,0.041021786538502254,0.017375325357740765,0.03164316559526191,50040,2486
8,Baldwin Park,0.010851502888401577,0.01602953961276404,0.04168231430809933,0.017660526155239234,0.03218941724296131,76769,4958
9,Bell,0.0090908264470323,0.01363623967054845,0.04152513116874842,0.017103080264755682,0.03202560007642091,36332,2534
10,Bell Gardens,0.009079765742043855,0.011349707177554819,0.04389683971340305,0.01835271798923758,0.03389429866455511,43071,3281
11,Bellflower,0.011555618756482193,0.01819609293046067,0.04456091807938786,0.018946712571504893,0.034386511693358504,77735,3799
12,Beverly Crest,0.009214891264283083,0.01084104854621539,0.04065393204830771,0.018219156442525405,0.03243641725027645,12525,241
13,Beverly Hills,0.014780218156019983,0.023226057102317118,0.057889187777744926,0.024898704913197477,0.04515275436674237,34520,1112
14,Beverlywood,0.018024513338139873,0.023496240601503758,0.07549611734253667,0.033717105263157895,0.06085526315789474,13173,283
15,Boyle Heights,0.010780973737547975,0.016770403591741295,0.042688068352291025,0.017249557980076758,0.032958976854789525,86884,6790
16,Bradbury,0.004217345096914591,0.0,0.026509026323463136,0.013124173773605618,0.023263821036077534,1069,29
17,Brentwood,0.008344131621313857,0.010634677556576485,0.033321989677272984,0.01439849455403467,0.025846304947628924,30955,579
18,Burbank,0.00953508651790776,0.014952749312173531,0.03665835315242543,0.01563087853268027,0.02828440767949977,107180,3117
19,Calabasas,0.009490367277213628,0.012970168612191958,0.035892290499147564,0.015537181150021614,0.02805056307001832,24323,474
20,Canoga Park,0.014217535400393723,0.022282798422377872,0.054849040933514434,0.023316030309370676,0.0423463327628507,65289,3566
21,Carson,0.007231135843019547,0.011347184583390822,0.027677696329979063,0.011725424069503849,0.02135702241231058,93846,3086
22,Carthay,0.019341892120596695,0.04013820386354296,0.10210755156431355,0.043377037476338184,0.0788915445795665,14363,399
23,Century City,0.016873436570642754,0.025912777590629942,0.06595979750342165,0.03188056879332048,0.058044621803011065,12792,229
24,Cerritos,0.004897828484863708,0.007536512897686712,0.018558483569770252,0.007901136569308126,0.014457893704686284,50067,955
25,Chatsworth,0.013661981201113865,0.019439973250596803,0.052377527928521565,0.022436352689222536,0.0405651220249577,37061,1339
26,Cheviot Hills,0.009493745994825909,0.011076036993963558,0.036430820474121106,0.015531752383667176,0.02784682885746499,9171,154
27,Chinatown,0.006337826803406508,0.005781015146259683,0.023911262647508136,0.008324661810613945,0.01878385229061608,8021,278
28,Claremont,0.007726764231552774,0.011420609632142163,0.030073625703654492,0.012917245141764788,0.023344648761558468,36484,808
29,Commerce,0.00722475490019001,0.0,0.04747917085371123,0.018061887250475025,0.03657721100096198,13069,1011
30,Compton,0.010595016104424478,0.01850134721752516,0.04507086215850413,0.01721690116968978,0.03479693797199088,99904,6395
31,Covina,0.011014336260076115,0.017120155935391037,0.04297745844725672,0.018323375772255877,0.03317328215027517,49032,2335
32,Cudahy,0.005901236899254084,0.0,0.04456755031376965,0.017837829718199843,0.034438285210186756,24347,1831
33,Culver City,0.005236295149431296,0.008186237874737077,0.02024202096337298,0.00864086270373234,0.01569673157173815,39865,726
34,Del Rey,0.005823654672470066,0.008925383791503034,0.02296825625804393,0.009660415397862106,0.01774258111280603,29936,741
35,Diamond Bar,0.0050967132415096214,0.007656780232031069,0.01940952623334757,0.008263871221302139,0.015011056700915322,57515,1084
36,Downey,0.013221014311181375,0.020498867903431695,0.05047338424476616,0.021469729733568796,0.03896716294859119,114263,6961
37,Downtown,0.011463565165394802,0.018034477089531677,0.04451800841497985,0.01884058163757016,0.0344081974295234,27507,1526
38,Duarte,0.009528270010649674,0.014444048570520661,0.036391257200231605,0.015465344934092826,0.028089185007674298,22016,908
39,Eagle Rock,0.008498772893086596,0.012958256596157553,0.032532298042586616,0.013838809267540744,0.025120466446290467,39589,1209
40,East Hollywood,0.00287835420939678,0.003943199895448871,0.011146907556860196,0.004712526242397672,0.008603345226433901,29287,1127
41,Echo Park,0.002103729649702717,0.002471882338400692,0.008265356569027315,0.003449138146605617,0.006385459542366885,14256,477
42,El Monte,0.010415666464320647,0.01376355925642371,0.03978380533343854,0.016850932993737935,0.030715602170147304,117269,7041
43,El Segundo,0.005607529042327498,0.0056924916035748846,0.022493631870436678,0.009683104274122226,0.017331603900169964,16786,228
44,El Sereno,0.008781782556209834,0.012926985513158233,0.03425085118928337,0.014451255913802743,0.026420347888967986,41808,2248
45,Elysian Park,0.013660953352397953,0.0,0.053974158833493865,0.012750223128904756,0.04242179501299167,5712,187
46,Elysian Valley,0.010576011912819818,0.012306632044008515,0.04105573149107759,0.01674716937947551,0.03163199664910716,10171,430
47,Encino,0.012662265717646084,0.020880563178618302,0.05081521929855345,0.02183763554118383,0.03945272238774112,45172,1292
48,Exposition Park,0.010060524113064195,0.02002598815576873,0.048778298730008204,0.019023536504703203,0.03762512576272352,44917,2250
49,Gardena,0.007503260739073726,0.011718686575256205,0.0287716976128302,0.012134852523881948,0.02219213779153638,61310,2026
50,Glassell Park,0.009061391663225787,0.009131363799621353,0.034876928602285494,0.014308025029090394,0.026861516685174284,31604,1174
51,Glendale,0.01141772939358552,0.017431695950206872,0.04360539788264534,0.018584079459799757,0.03366598205428907,206493,7042
52,Glendora,0.012570883687132167,0.01839641515190073,0.049327642588675,0.020997098841529553,0.037975323452539,52764,1936
53,Granada Hills,0.014810849068342964,0.02269830461124788,0.05734754630310051,0.024423354788448287,0.044290140441100447,58191,2442
54,Green Meadows,0.0,0.013902181851564487,0.0339346616044646,0.005872473368333275,0.02623116876800778,21505,1439
55,Hancock Park,0.015572394504813427,0.021473512422426937,0.059999520003839964,0.025680134021445505,0.046299970897161154,17039,391
56,Harbor City,0.007224343871543942,0.011106584737093255,0.028412998999985967,0.011836698873196997,0.021873171982234676,29070,833
57,Harbor Gateway,0.007716438218101189,0.012211816586553027,0.030103722896268798,0.012598266478532554,0.023225375616886545,43600,1640
58,Harvard Heights,0.0072813442655975495,0.011768978318179373,0.029781271572656448,0.011412342611567877,0.02292247158322896,18035,842
