geo_merge,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
Los Angeles - Beverlywood,6429,48804.0,51264,289,2194,2285,13173.0
Los Angeles - Boyle Heights,38497,44309.0,44147,7437,8560,8531,86884.0
Los Angeles - Brentwood,16123,52085.0,50375,541,1748,1697,30955.0
Los Angeles - Brookside,297,51119.0,59108,7,1205,1135,581.0
Los Angeles - Cadillac-Corning,2539,35655.0,34488,272,3820,3762,7121.0
Los Angeles - Canoga Park,24610,37694.0,37254,3738,5725,5636,65289.0
Los Angeles - Carthay,7925,55176.0,76854,389,2708,3644,14363.0
Los Angeles - Central,15455,39636.0,40603,3407,8738,8832,38992.0
Los Angeles - Century City,6042,47233.0,53594,221,1728,2084,12792.0
Los Angeles - Century Palms/Cove,12767,37810.0,38266,2566,7599,7678,33766.0
Los Angeles - Chatsworth,15456,41704.0,41116,1421,3834,4001,37061.0
Los Angeles - Cheviot Hills,4997,54487.0,58305,152,1657,1805,9171.0
Los Angeles - Chinatown,3222,40170.0,38647,282,3516,3631,8021.0
Los Angeles - Cloverdale/Cochran,5633,38707.0,37382,583,4006,3864,14553.0
Los Angeles - Country Club Park,6184,40810.0,39436,598,3946,3733,15153.0
Los Angeles - Crenshaw District,5825,42122.0,42167,578,4180,4251,13829.0
Los Angeles - Crestview,5705,50185.0,52044,340,2991,3055,11368.0
Los Angeles - Del Rey,11952,39925.0,39721,754,2519,2606,29936.0
Los Angeles - Downtown,19967,72589.0,71318,1586,5766,5909,27507.0
Los Angeles - Eagle Rock,19728,49832.0,50148,1321,3337,3306,39589.0
Los Angeles - East Hollywood,11800,40291.0,37415,1155,3944,3751,29287.0
Los Angeles - Echo Park,8777,61567.0,58733,513,3598,3626,14256.0
Los Angeles - El Sereno,18865,45123.0,44535,2509,6001,5935,41808.0
Los Angeles - Elysian Park,2765,48407.0,44827,198,3466,3368,5712.0
Los Angeles - Elysian Valley,4858,47763.0,46533,461,4532,4400,10171.0
Los Angeles - Encino,20715,45858.0,47846,1269,2809,3068,45172.0
Los Angeles - Exposition,1348,40529.0,38841,131,3939,3808,3326.0
Los Angeles - Exposition Park,15888,35372.0,34703,2404,5352,5398,44917.0
Los Angeles - Faircrest Heights,1574,43722.0,43038,62,1722,1649,3600.0
Los Angeles - Figueroa Park Square,3384,38803.0,38997,566,6490,6499,8721.0
Los Angeles - Florence-Firestone,19354,40792.0,41379,4046,8528,8578,47445.0
Los Angeles - Glassell Park,14242,45064.0,45051,1265,4003,3969,31604.0
Los Angeles - Gramercy Place,4144,38499.0,38805,474,4404,4598,10764.0
Los Angeles - Granada Hills,23444,40288.0,39750,2536,4358,4304,58191.0
Los Angeles - Green Meadows,8271,38461.0,38891,1554,7226,7181,21505.0
Los Angeles - Hancock Park,7935,46570.0,49325,386,2265,2426,17039.0
