"place_ID","cumulative_cases_today","adj_case_rate","cumulative_deaths_today","adj_death_rate","cumulative_persons_tested_today","adj_test_rate","cumulative_persons_pos_today","adj_test_pos_rate"
"Del Rey",434,1455,10,26,9429,31055,382,1287
"Downtown",958,3716,17,51,16057,56581,882,3415
"Eagle Rock",817,1989,26,45,16233,40993,771,1889
"East Hollywood",759,2422,45,133,9622,30238,690,2203
"Echo Park",333,2334,6,39,7446,49321,328,2319
"El Sereno",1517,3561,37,84,15011,35341,1507,3543
"Elysian Park",117,1945,0,0,2334,37595,111,1850
"Elysian Valley",327,3126,5,44,4024,38452,313,2996
"Encino",864,2041,21,23,16239,37046,740,1765
"Exposition",83,2360,2,62,1121,32227,82,2336
"Exposition Park",1595,3579,25,77,12721,27667,1555,3492
"Faircrest Heights",45,1135,2,46,1265,34225,34,868
"Figueroa Park Square",367,4200,5,59,2713,31234,360,4100
"Florence Firestone",2677,5695,35,102,15265,32757,2685,5699
"Glassell Park",846,2620,15,39,11646,36759,828,2572
"Gramercy Place",301,2909,5,30,3368,31347,296,2868
"Granada Hills",1556,2581,70,86,18368,30703,1490,2465
"Green Meadows",1071,5022,16,108,6523,30832,1073,4996
"Hancock Park",295,1826,4,22,6499,40317,263,1657
"Harbor City",576,1965,12,33,6076,20624,524,1794
"Harbor Gateway",1158,2597,20,50,10262,23134,1081,2432
"Harbor Pines",36,1564,0,0,486,20180,32,1357
"Harvard Heights",625,3401,24,154,4827,26121,599,3252
"Harvard Park",1884,4929,24,65,12402,32610,1884,4927
"Highland Park",1346,2721,23,52,17380,34998,1321,2671
"Historic Filipinotown",513,3471,16,104,5254,35329,490,3305
"Hollywood",1497,1990,16,25,24728,31583,1376,1841
"Hollywood Hills",428,1596,7,22,12196,44181,367,1426
"Hyde Park",944,3240,15,44,9334,32307,909,3120
"Jefferson Park",308,3763,1,9,2474,30332,302,3695
"Koreatown",1370,2568,33,63,13724,25296,1278,2392
"Lafayette Square",104,2223,3,64,1432,30438,102,2183
"Lake Balboa",1317,3103,20,52,13608,31605,1276,3009
"Lakeview Terrace",670,5081,23,196,4718,35524,648,4886
"Leimert Park",387,2520,8,37,4981,31903,355,2301
"Lincoln Heights",1265,3795,47,123,12064,36282,1242,3739
"Little Armenia",420,4554,52,526,3121,34893,290,3201
"Little Bangladesh",629,2189,5,19,8178,28349,596,2069
"Little Tokyo",124,4631,2,21,2094,73636,116,4118
"Longwood",137,3090,1,28,1523,34722,122,2717
"Los Feliz",275,1352,3,8,10564,53212,251,1258
"Manchester Square",238,2812,5,43,2563,30199,229,2701
"Mandeville Canyon",32,1281,0,0,1308,51759,24,1036
"Mar Vista",401,981,7,14,14670,35019,370,913
"Marina Peninsula",48,1486,1,12,1766,50751,40,1376
"Melrose",2265,2870,75,96,29820,36626,2086,2653
"Midcity",312,2050,23,139,5703,37528,282,1865
"Miracle Mile",234,1181,6,33,7217,37488,207,1053
"Mission Hills",1105,4361,55,171,8820,35444,1077,4252
"Mt Washington",657,2669,16,61,9076,37335,650,2636
"North Hills",2342,3743,48,90,17932,28702,2288,3651
"North Hollywood",5025,3186,77,57,48383,30125,4767,3025
"Northridge",1818,2530,47,54,22027,30279,1741,2425
"Pacific Palisades",174,946,4,9,7978,42859,149,807
"Pacoima",4477,5807,65,116,27313,35562,4468,5791
