City,PersonsTested,TestingRate,AdjustedTestingRate,PersonsTestedPositive,PositveTestingRate,AdjustedPositiveTestingRate,Population
Los Angeles - Chinatown,2417,30133,28307,144,1795,1722,8021
Los Angeles - Cloverdale/Cochran,4200,28860,27781,363,2494,2397,14553
Los Angeles - Country Club Park,4558,30080,28763,402,2653,2444,15153
Los Angeles - Crenshaw District,4396,31788,31590,354,2560,2554,13829
Los Angeles - Crestview,4172,36700,37981,203,1786,1793,11368
Los Angeles - Del Rey,8593,28705,28274,372,1243,1244,29936
Los Angeles - Downtown,14817,53866,52160,912,3316,3527,27507
Los Angeles - Eagle Rock,14964,37798,37698,736,1859,1796,39589
Los Angeles - East Hollywood,8815,30099,27672,659,2250,2109,29287
Los Angeles - Echo Park,6869,48183,45391,295,2069,2069,14256
Los Angeles - El Sereno,13919,33293,32737,1440,3444,3382,41808
Los Angeles - Elysian Park,2189,38323,35309,112,1961,1871,5712
Los Angeles - Elysian Valley,3735,36722,35619,296,2910,2817,10171
Los Angeles - Encino,14690,32520,33340,748,1656,1764,45172
Los Angeles - Exposition,1029,30938,29482,81,2435,2303,3326
Los Angeles - Exposition Park,11728,26110,25442,1525,3395,3424,44917
Los Angeles - Faircrest Heights,1137,31583,30647,38,1056,977,3600
Los Angeles - Figueroa Park Square,2516,28850,28921,356,4082,4062,8721
Los Angeles - Florence-Firestone,14259,30054,30548,2615,5512,5571,47445
Los Angeles - Glassell Park,10690,33825,33679,776,2455,2400,31604
Los Angeles - Gramercy Place,3046,28298,28240,270,2508,2624,10764
Los Angeles - Granada Hills,16799,28869,27960,1406,2416,2317,58191
Los Angeles - Green Meadows,6095,28342,28773,1042,4845,4871,21505
Los Angeles - Hancock Park,5954,34943,36933,257,1508,1592,17039
Los Angeles - Harbor City,5586,19216,18923,536,1844,1838,29070
Los Angeles - Harbor Gateway,9516,21826,21433,1106,2537,2481,43600
Los Angeles - Harbor Pines,445,18472,18467,28,1162,1235,2409
Los Angeles - Harvard Heights,4462,24741,24123,618,3427,3342,18035
Los Angeles - Harvard Park,11503,30323,30224,1852,4882,4844,37935
Los Angeles - Highland Park,15996,33056,32186,1264,2612,2555,48391
Los Angeles - Historic Filipinotown,4869,35105,32658,491,3540,3301,13870
Los Angeles - Hollywood,22660,33200,28889,1359,1991,1823,68254
Los Angeles - Hollywood Hills,11078,37637,40085,340,1155,1285,29434
Los Angeles - Hyde Park,8621,30206,29805,905,3171,3130,28541
Los Angeles - Jefferson Park,2264,28044,27755,284,3518,3478,8073
Los Angeles - Koreatown,12642,24456,23276,1282,2480,2403,51693
Los Angeles - Lafayette Square,1335,29283,28396,96,2106,2050,4559
Los Angeles - Lake Balboa,12405,29392,28783,1222,2895,2885,42206
Los Angeles - Lakeview Terrace,4320,32894,32511,631,4805,4774,13133
Los Angeles - Leimert Park,4616,30299,29534,345,2265,2228,15235
Los Angeles - Lincoln Heights,11234,34463,33744,1198,3675,3605,32597
Los Angeles - Little Armenia,2923,36424,32585,311,3875,3446,8025
Los Angeles - Little Bangladesh,7472,26363,25873,586,2068,2034,28343
Los Angeles - Little Tokyo,1986,63390,69592,124,3958,4319,3133
Los Angeles - Longwood,1441,33480,32889,123,2858,2747,4304
Los Angeles - Los Feliz,9777,45247,49252,246,1138,1241,21608
Los Angeles - Manchester Square,2331,27308,27350,221,2589,2582,8536
Los Angeles - Mandeville Canyon,1159,37100,45295,28,896,1086,3124
Los Angeles - Mar Vista,13153,30969,31292,354,834,863,42471
Los Angeles - Marina Peninsula,1614,37018,45814,39,894,1218,4360
Los Angeles - Melrose,27507,35403,33762,2071,2666,2635,77696
Los Angeles - Mid-city,5277,35110,34649,298,1983,1947,15030
Los Angeles - Miracle Mile,6641,36925,34453,215,1195,1073,17985
Los Angeles - Mission Hills,8049,33365,32253,936,3880,3750,24124
Los Angeles - Mt. Washington,8342,34550,34315,626,2593,2538,24145
Los Angeles - North Hills,16185,26285,25880,2135,3467,3410,61575
Los Angeles - North Hollywood,44139,29150,27444,4551,3006,2883,151421
Los Angeles - Northridge,20050,28726,27458,1684,2413,2355,69797
Los Angeles - Pacific Palisades,7113,33408,37826,133,625,702,21291
Los Angeles - Pacoima,24931,32387,32493,4041,5249,5246,76979
Los Angeles - Palisades Highlands,1064,27665,31070,32,832,914,3846
Los Angeles - Palms,13612,31023,31410,584,1331,1473,43877
Los Angeles - Panorama City,21034,27952,27745,3396,4513,4497,75250
Los Angeles - Park La Brea,3474,25582,22996,138,1016,872,13580
Los Angeles - Pico-Union,11516,27523,26876,1940,4636,4621,41842
Los Angeles - Playa Del Rey,953,29819,31967,33,1033,1249,3196
Los Angeles - Playa Vista,3985,36403,35776,145,1325,1353,10947
Los Angeles - Porter Ranch,9003,25298,24936,451,1267,1359,35588
Los Angeles - Rancho Park,2584,39390,43210,92,1402,1598,6560
Los Angeles - Regent Square,730,26259,24649,34,1223,1180,2780
Los Angeles - Reseda,25550,33348,31990,2622,3422,3337,76617
Los Angeles - Reseda Ranch,1429,30824,29596,145,3128,2915,4636
Los Angeles - Reynier Village,1281,30298,30443,44,1041,1138,4228
Los Angeles - San Pedro,16026,20536,20150,1993,2554,2556,78038
Los Angeles - Shadow Hills,1261,28388,27451,77,1733,1853,4442
Los Angeles - Sherman Oaks,30434,34880,36093,1255,1438,1557,87254
Los Angeles - Silverlake,21250,48205,49260,690,1565,1612,44083
Los Angeles - South Carthay,3666,34601,39864,129,1218,1485,10595
Los Angeles - South Park,11012,29009,29837,2278,6001,6108,37961
Los Angeles - St Elmo Village,1599,34882,34994,161,3512,3695,4584
Los Angeles - Studio City,9103,40566,42943,256,1141,1271,22440
Los Angeles - Sun Valley,14857,28308,27559,1976,3765,3678,52483
Los Angeles - Sunland,5880,28812,27688,513,2514,2507,20408
Los Angeles - Sycamore Square,268,41422,47606,7,1082,1493,647
Los Angeles - Sylmar,27165,32968,32467,3876,4704,4642,82398
Los Angeles - Tarzana,10558,34195,33188,801,2594,2492,30876
Los Angeles - Temple-Beaudry,12684,32126,29881,1356,3434,3327,39482
Los Angeles - Thai Town,3074,31339,29234,200,2039,1984,9809
Los Angeles - Toluca Lake,3287,37764,41516,123,1413,1655,8704
Los Angeles - Toluca Terrace,391,29939,29524,26,1991,1972,1306
Los Angeles - Toluca Woods,659,35468,40708,23,1238,1359,1858
Los Angeles - Tujunga,6865,24685,23539,602,2165,2146,27810
Los Angeles - University Hills,949,27676,27462,67,1954,1962,3429
Los Angeles - University Park,8313,30278,26195,1210,4407,4555,27456
Los Angeles - Valley Glen,8041,26789,26073,777,2589,2527,30016
Los Angeles - Valley Village,9040,36570,37262,566,2290,2284,24720
Los Angeles - Van Nuys,25183,27022,26597,3514,3771,3768,93194
Los Angeles - Venice,11558,34109,37647,318,938,1208,33885
Los Angeles - Vermont Knolls,5010,29128,29112,790,4593,4547,17200
Los Angeles - Vermont Square,2429,31723,31599,367,4793,4733,7657
Los Angeles - Vermont Vista,11641,28264,29140,2154,5230,5347,41186
Los Angeles - Vernon Central,16927,32553,33515,3360,6462,6559,51998
Los Angeles - Victoria Park,2045,24348,23655,236,2810,2715,8399
Los Angeles - View Heights,1011,27369,26715,56,1516,1531,3694
Los Angeles - Watts,12438,29147,31106,2209,5176,5366,42674
Los Angeles - Wellington Square,1555,31638,31274,144,2930,2909,4915
Los Angeles - West Adams,8867,32092,31276,960,3474,3415,27630
Los Angeles - West Hills,11703,28864,29065,604,1490,1542,40545
Los Angeles - West Los Angeles,13821,36723,35494,541,1437,1453,37636
Los Angeles - West Vernon,16923,31547,31370,2632,4906,4898,53644
Los Angeles - Westchester,14940,28952,27711,462,895,842,51603
Los Angeles - Westlake,16521,27834,27222,2562,4316,4355,59355
Los Angeles - Westwood,16109,29771,26561,439,811,701,54109
Los Angeles - Wholesale District,27568,76304,65210,2513,6956,6095,36129
Los Angeles - Wilmington,11647,20619,20768,1897,3358,3349,56487
Los Angeles - Wilshire Center,13334,26578,25449,1220,2432,2370,50170
Los Angeles - Winnetka,14765,28512,27562,1524,2943,2839,51786
Los Angeles - Woodland Hills,22666,33305,32448,1102,1619,1651,68055
Unincorporated - Acton,1496,18768,18603,88,1104,1212,7971
Unincorporated - Agua Dulce,793,19072,19571,33,794,847,4158
Unincorporated - Altadena,12268,28125,28300,786,1802,1862,43620
Unincorporated - Anaverde,246,16313,17854,24,1592,1718,1508
Unincorporated - Angeles National Forest,119,9558,8993,6,482,479,1245
Unincorporated - Arcadia,1724,21601,21641,109,1366,1385,7981
Unincorporated - Athens Village,1898,38758,39029,255,5207,5240,4897
Unincorporated - Athens-Westmont,11532,27171,27266,1724,4062,4096,42442
Unincorporated - Avocado Heights,1685,24871,24358,313,4620,4524,6775
Unincorporated - Azusa,3638,22847,22300,568,3567,3431,15923
Unincorporated - Bassett,3998,26983,26423,713,4812,4738,14817
Unincorporated - Bouquet Canyon,162,15098,15510,9,839,1160,1073
Unincorporated - Bradbury,98,90741,8230,3,2778,287,108
Unincorporated - Canyon Country,2066,26734,28729,165,2135,2238,7728
Unincorporated - Castaic,4565,16789,16789,297,1092,1087,27191
Unincorporated - Cerritos,160,27257,27866,25,4259,4274,587
Unincorporated - Claremont,166,23647,26131,21,2991,3764,702
Unincorporated - Covina,3913,23265,22618,502,2985,2866,16819
Unincorporated - Covina (Charter Oak),2876,21881,21074,345,2625,2625,13144
Unincorporated - Del Aire,1093,24880,24228,79,1798,1792,4393
Unincorporated - Del Rey,201,63208,91521,3,943,1312,318
Unincorporated - Del Sur,347,14369,15913,21,870,994,2415
Unincorporated - Desert View Highlands,511,20497,20548,57,2286,2217,2493
Unincorporated - Duarte,1341,30285,30082,170,3839,3793,4428
Unincorporated - East Covina,78,23708,30605,4,1216,1379,329
Unincorporated - East La Mirada,1089,20578,20329,122,2305,2304,5292
Unincorporated - East Lancaster,22,19298,18154,2,1754,1846,114
Unincorporated - East Los Angeles,40474,32310,32240,7125,5688,5673,125269
Unincorporated - East Pasadena,1215,18975,18726,90,1406,1355,6403
Unincorporated - East Rancho Dominguez,3927,25653,25882,741,4841,4844,15308
Unincorporated - East Whittier,992,18696,18357,101,1904,1850,5306
Unincorporated - El Camino Village,1787,20328,20485,181,2059,2084,8791
Unincorporated - El Monte,37,25517,32360,7,4828,7066,145
Unincorporated - Elizabeth Lake,175,10536,11410,8,482,588,1661
Unincorporated - Florence-Firestone,19309,29842,30027,3893,6017,6075,64705
