,Place,TotalPopulation,pop18OrLess,pop19To49,pop50To64,pop65AndUp,cityCase_18OrLess,cityCase_19To49,cityCase_50To64,cityCase_65AndUp,sumOfcityCase,Cases,rscore_18OrLess,rscore_19to49,rscore_50to65,rscore_65andUp
0,Rolling Hills,3218,820.59,984.708,759.4480000000001,656.472,2.4473805174251186,6.860108310381101,4.017791888680136,2.674719283513646,16.0,16.0,0.0029824644675478843,0.0069666422029485905,0.005290410783463957,0.004074384411694095
1,Palos Verdes Estates,13340,3281.64,4175.42,3201.6,2681.34,23.611026173835977,70.17336799579039,40.86063521901827,26.354970611355377,161.00000000000003,161.0,0.007194886146510884,0.016806301640503323,0.012762567222332044,0.009829029743096875
2,Bel-Air,7691,1507.4360000000001,2822.5969999999998,1753.548,1607.4189999999999,,,,,,,,,,
3,Bradbury,1268,292.90799999999996,419.70799999999997,242.18800000000002,314.464,4.120654987506962,13.792103118977174,6.043684123445152,6.04355777007071,29.999999999999996,30.0,0.014068086182374541,0.03286118710860211,0.02495451518425831,0.019218599808152
4,Century City,5513,678.099,2381.6160000000004,997.8530000000001,1455.432,16.749792375523953,137.41568005829117,43.721696793024485,49.11283077316041,247.0,247.0,0.02470110172043308,0.05769850389747598,0.04381576924960338,0.03374450388143205
5,Beverly Crest,10852,2094.436,4275.688,2626.1839999999997,1844.8400000000001,28.81668100990086,137.41403740384547,64.09381650327718,34.6754650829765,265.0,265.0,0.013758683010557906,0.03213846225539503,0.024405683875645113,0.018795920016357243
6,Rancho Palos Verdes,41301,9788.337,14661.855,9127.521,7723.287,73.1586252718844,255.97277174851675,121.01064627063793,78.85795670896091,529.0,529.0,0.007474060739008517,0.01745841653382309,0.013257777908222608,0.010210413870280996
7,Rancho Dominguez,2526,525.408,982.614,654.234,363.744,,,,,,,,,,
8,Pacific Palisades,23940,5697.719999999999,8785.98,5266.8,4165.5599999999995,39.6387758432026,142.77677533913393,64.99501887203638,39.58942994562706,287.0,287.0,0.006956953982154722,0.016250523600000677,0.012340513950033489,0.009503987446016158
9,View Park-Windsor Hills,11066,2368.124,4271.476,2202.134,2224.266,,,,,,,,,,
10,Rolling Hills Estates,8334,2183.5080000000003,2858.5620000000004,1858.482,1441.7820000000002,13.910632680308968,42.53906497539977,21.00218942997123,12.548112914320042,90.00000000000001,90.0,0.006370772481854413,0.0148812812090134,0.011300722541284355,0.008703197095205822
11,La Habra Heights,6094,1468.6540000000002,2224.31,1371.15,1029.886,10.207251749801792,36.110447977381035,16.90395852365068,9.7783417491665,73.0,73.0,0.006950072481198288,0.01623444932468093,0.012328307277577711,0.009494586535953009
12,Westlake Village,8663,2044.468,3153.332,1983.8269999999998,1490.0359999999998,8.606974092940343,31.009024522882502,14.81453729891199,8.56946408526517,63.0,63.0,0.004209884475051868,0.009833732865071772,0.0074676558484746865,0.0057511792233645165
13,Ladera Heights,6509,1425.4710000000002,2401.821,1451.507,1230.2009999999998,,,,,,,,,,
14,Encino,41905,7752.425,18102.96,7752.425,8255.285,146.44023260270632,798.767997312785,259.76134640467063,213.03042367983798,1417.9999999999998,1418.0,0.0188896032664239,0.044123612785576784,0.03350710860210458,0.025805338480723316
15,Sierra Madre,10578,2083.866,4675.476000000001,2126.1780000000003,1692.48,21.615083362481446,113.282072554537,39.12018164923729,23.98266243374429,198.0,198.0,0.010372587950703858,0.024228992417999147,0.01839929754199191,0.014170130479381907
16,Topanga,7425,1611.2250000000001,3385.8,1715.1750000000002,720.2249999999999,,,,,,,,,,
17,Malibu,12514,2615.4260000000004,5318.450000000001,2853.192,1714.418,20.511488161472908,97.42895461181267,39.691713529991894,18.367843696722506,175.99999999999997,176.0,0.007842503730357083,0.01831905059026834,0.01391133633137619,0.010713748745476603
18,Cheviot Hills,6945,1465.395,2916.9,1291.7700000000002,1263.99,20.258314484414107,94.1929441954355,31.677282251642062,23.871459068508358,170.00000000000003,170.0,0.013824473595456589,0.03229214035292108,0.024522385758797664,0.01888579741019182
19,San Marino,12973,3619.4670000000006,4812.983,2348.1130000000003,2192.437,25.14631663730549,78.10742387288927,28.93762391229094,20.80863557751429,152.99999999999997,153.0,0.006947519244492486,0.016228485301711906,0.012323778247593254,0.009491098525300518
20,San Pasqual,2082,366.43199999999996,1072.23,393.49799999999993,249.84,,,,,,,,,,
21,Angeles Crest,1175,204.45000000000002,601.6,242.05,125.725,,,,,,,,,,
22,Porter Ranch,24923,6280.5960000000005,10118.738000000001,5507.983,2990.7599999999998,128.1296934858896,482.1958941500541,199.32218382406583,83.35222853999065,893.0000000000001,893.0,0.02040088129946419,0.047653758220645104,0.036187872007605294,0.027869915519797863
23,Beverly Hills,33829,7036.432,14444.983,6326.023,5987.732999999999,136.68476765722562,655.439917225906,217.97792149139966,158.89739362546854,1168.9999999999998,1169.0,0.01942529504402595,0.04537491786774038,0.03445733938864902,0.026537154149236207
24,La Ca̱ada Flintridge,20381,6338.491,7153.731,4035.438,2853.34,,,,,,,,,,
25,Northwest Antelope Valley,3343,899.267,1303.77,628.484,508.13599999999997,,,,,,,,,,
