Deaths_Race_Ethnicity(excluding_LB_Pas),Cases
American Indian/Alaska Native,17
Asian,1048
Black,696
Hispanic/Latino,3879
Native Hawaiian/Pacific Islander,23
White,1760
Other,46
Under Investigation,22
