geo_merge,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
Los Angeles - Beverlywood,6191,46998.0,49391,249,1890,1969,13173.0
Los Angeles - Boyle Heights,36481,41988.0,41825,6517,7501,7468,86884.0
Los Angeles - Brentwood,15561,50270.0,48459,485,1567,1525,30955.0
Los Angeles - Brookside,289,49742.0,56735,7,1205,1135,581.0
Los Angeles - Cadillac-Corning,2387,33521.0,32480,219,3075,3036,7121.0
Los Angeles - Canoga Park,23300,35687.0,35273,3299,5053,4973,65289.0
Los Angeles - Carthay,7680,53471.0,74466,339,2360,3141,14363.0
Los Angeles - Central,14676,37638.0,38628,3074,7884,7999,38992.0
Los Angeles - Century City,5786,45231.0,51214,199,1556,1859,12792.0
Los Angeles - Century Palms/Cove,12040,35657.0,36177,2255,6678,6767,33766.0
Los Angeles - Chatsworth,14754,39810.0,39146,1229,3316,3471,37061.0
Los Angeles - Cheviot Hills,4824,52601.0,56177,129,1407,1523,9171.0
Los Angeles - Chinatown,3117,38860.0,37295,258,3217,3316,8021.0
Los Angeles - Cloverdale/Cochran,5373,36920.0,35639,511,3511,3383,14553.0
Los Angeles - Country Club Park,5906,38976.0,37671,540,3564,3338,15153.0
Los Angeles - Crenshaw District,5580,40350.0,40305,496,3587,3607,13829.0
Los Angeles - Crestview,5457,48003.0,49700,283,2489,2514,11368.0
Los Angeles - Del Rey,11419,38145.0,37897,622,2078,2133,29936.0
Los Angeles - Downtown,19013,69121.0,67631,1392,5061,5257,27507.0
Los Angeles - Eagle Rock,19041,48097.0,48373,1116,2819,2771,39589.0
Los Angeles - East Hollywood,11277,38505.0,35662,984,3360,3179,29287.0
Los Angeles - Echo Park,8538,59891.0,57053,462,3241,3258,14256.0
Los Angeles - El Sereno,17865,42731.0,42158,2156,5157,5097,41808.0
Los Angeles - Elysian Park,2689,47076.0,43527,171,2994,2913,5712.0
Los Angeles - Elysian Valley,4664,45856.0,44619,411,4041,3933,10171.0
Los Angeles - Encino,19945,44153.0,45983,1104,2444,2672,45172.0
Los Angeles - Exposition,1281,38515.0,36867,111,3337,3223,3326.0
Los Angeles - Exposition Park,15009,33415.0,32717,2105,4686,4716,44917.0
Los Angeles - Faircrest Heights,1520,42222.0,41495,52,1444,1358,3600.0
Los Angeles - Figueroa Park Square,3175,36406.0,36589,480,5504,5518,8721.0
Los Angeles - Florence-Firestone,18124,38200.0,38796,3544,7470,7513,47445.0
Los Angeles - Glassell Park,13682,43292.0,43254,1117,3534,3492,31604.0
Los Angeles - Gramercy Place,3916,36381.0,36634,404,3753,3905,10764.0
Los Angeles - Granada Hills,22273,38276.0,37626,2215,3806,3719,58191.0
Los Angeles - Green Meadows,7720,35899.0,36364,1383,6431,6415,21505.0
Los Angeles - Hancock Park,7651,44903.0,47566,340,1995,2153,17039.0
Los Angeles - Harbor City,7297,25101.0,24848,738,2539,2525,29070.0
Los Angeles - Harbor Gateway,12263,28126.0,27652,1471,3374,3309,43600.0
Los Angeles - Harbor Pines,587,24367.0,24434,44,1826,1837,2409.0
Los Angeles - Harvard Heights,5705,31633.0,30910,773,4286,4211,18035.0
Los Angeles - Harvard Park,14702,38756.0,38652,2396,6316,6278,37935.0
Los Angeles - Highland Park,20569,42506.0,41502,1933,3995,3914,48391.0
Los Angeles - Historic Filipinotown,6208,44758.0,41950,685,4939,4671,13870.0
Los Angeles - Hollywood,29185,42759.0,37628,1962,2875,2639,68254.0
Los Angeles - Hollywood Hills,14370,48821.0,52559,554,1882,2151,29434.0
Los Angeles - Hyde Park,10892,38163.0,37832,1174,4113,4063,28541.0
Los Angeles - Jefferson Park,2987,37000.0,36660,426,5277,5208,8073.0
Los Angeles - Koreatown,16424,31772.0,30368,1712,3312,3227,51693.0
Los Angeles - Lafayette Square,1706,37420.0,36449,181,3970,3917,4559.0
Los Angeles - Lake Balboa,16529,39163.0,38490,1827,4329,4297,42206.0
Los Angeles - Lakeview Terrace,5600,42641.0,42198,861,6556,6483,13133.0
Los Angeles - Leimert Park,5803,38090.0,37393,481,3157,3158,15235.0
Los Angeles - Lincoln Heights,14028,43035.0,42279,1694,5197,5093,32597.0
Los Angeles - Little Armenia,3496,43564.0,39501,354,4411,3987,8025.0
Los Angeles - Little Bangladesh,9747,34389.0,33954,807,2847,2805,28343.0
Los Angeles - Little Tokyo,2333,74465.0,83870,137,4373,4661,3133.0
Los Angeles - Longwood,1774,41217.0,40581,180,4182,4121,4304.0
Los Angeles - Los Feliz,12143,56197.0,61449,368,1703,1890,21608.0
Los Angeles - Manchester Square,2994,35075.0,35380,303,3550,3633,8536.0
Los Angeles - Mandeville Canyon,1587,50800.0,63591,37,1184,1435,3124.0
Los Angeles - Mar Vista,17609,41461.0,42274,570,1342,1418,42471.0
Los Angeles - Marina Peninsula,2028,46514.0,59346,53,1216,1748,4360.0
Los Angeles - Melrose,35241,45358.0,43386,2895,3726,3681,77696.0
Los Angeles - Mid-city,6686,44484.0,44300,398,2648,2656,15030.0
Los Angeles - Miracle Mile,8473,47111.0,44398,289,1607,1481,17985.0
Los Angeles - Mission Hills,10691,44317.0,43310,1525,6322,6091,24124.0
Los Angeles - Mt. Washington,10650,44109.0,43858,908,3761,3709,24145.0
Los Angeles - North Hills,21932,35618.0,35125,3208,5210,5113,61575.0
Los Angeles - North Hollywood,58354,38538.0,36487,6780,4478,4309,151421.0
Los Angeles - Northridge,26691,38241.0,37094,2543,3643,3558,69797.0
Los Angeles - Pacific Palisades,9957,46766.0,54218,219,1029,1271,21291.0
Los Angeles - Pacoima,33276,43227.0,43288,6325,8217,8153,76979.0
Los Angeles - Palisades Highlands,1541,40068.0,47977,53,1378,1727,3846.0
Los Angeles - Palms,19034,43380.0,44166,793,1807,1972,43877.0
Los Angeles - Panorama City,28133,37386.0,37122,4810,6392,6326,75250.0
Los Angeles - Park La Brea,4730,34831.0,31280,204,1502,1236,13580.0
Los Angeles - Pico-Union,14854,35500.0,34716,2469,5901,5864,41842.0
Los Angeles - Playa Del Rey,1266,39612.0,42886,44,1377,1547,3196.0
Los Angeles - Playa Vista,5468,49950.0,49136,191,1745,1704,10947.0
Los Angeles - Porter Ranch,12357,34722.0,35319,701,1970,2090,35588.0
Los Angeles - Rancho Park,3454,52652.0,57653,132,2012,2300,6560.0
Los Angeles - Regent Square,965,34712.0,32781,58,2086,2009,2780.0
Los Angeles - Reseda,33132,43244.0,41871,4047,5282,5182,76617.0
Los Angeles - Reseda Ranch,1857,40056.0,38694,214,4616,4390,4636.0
Los Angeles - Reynier Village,1703,40279.0,40367,65,1537,1650,4228.0
Los Angeles - San Pedro,20450,26205.0,25878,2357,3020,3028,78038.0
Los Angeles - Shadow Hills,1696,38181.0,37110,127,2859,2993,4442.0
Los Angeles - Sherman Oaks,40391,46291.0,48116,1871,2144,2343,87254.0
Los Angeles - Silverlake,26379,59839.0,61524,1039,2357,2451,44083.0
Los Angeles - South Carthay,4674,44115.0,50576,182,1718,2018,10595.0
Los Angeles - South Park,13626,35895.0,36904,2826,7444,7582,37961.0
Los Angeles - St Elmo Village,1907,41601.0,41469,210,4581,4643,4584.0
Los Angeles - Studio City,11973,53356.0,56768,400,1783,2074,22440.0
Los Angeles - Sun Valley,20062,38226.0,37320,3018,5750,5616,52483.0
Los Angeles - Sunland,7545,36971.0,36017,730,3577,3632,20408.0
Los Angeles - Sycamore Square,351,54250.0,64020,8,1236,1571,647.0
Los Angeles - Sylmar,36173,43900.0,43274,5773,7006,6902,82398.0
Los Angeles - Tarzana,14244,46133.0,45584,1166,3776,3744,30876.0
Los Angeles - Temple-Beaudry,16004,40535.0,37910,1885,4774,4623,39482.0
Los Angeles - Thai Town,3894,39698.0,37380,300,3058,2975,9809.0
Los Angeles - Toluca Lake,4342,49885.0,55146,171,1965,2371,8704.0
Los Angeles - Toluca Terrace,545,41730.0,42603,41,3139,3340,1306.0
Los Angeles - Toluca Woods,875,47094.0,54088,36,1938,2168,1858.0
Los Angeles - Tujunga,8975,32273.0,31138,858,3085,3058,27810.0
Los Angeles - University Hills,1166,34004.0,33869,88,2566,2571,3429.0
Los Angeles - University Park,10061,36644.0,32687,1421,5176,5436,27456.0
Los Angeles - Valley Glen,10785,35931.0,35185,1183,3941,3888,30016.0
Los Angeles - Valley Village,11895,48119.0,49300,697,2820,2857,24720.0
Los Angeles - Van Nuys,33705,36166.0,35584,5143,5519,5476,93194.0
Los Angeles - Venice,15049,44412.0,49245,513,1514,1934,33885.0
Los Angeles - Vermont Knolls,6308,36674.0,36556,1016,5907,5856,17200.0
Los Angeles - Vermont Square,3169,41387.0,41257,502,6556,6452,7657.0
Los Angeles - Vermont Vista,14765,35850.0,36806,2816,6837,6948,41186.0
Los Angeles - Vernon Central,20951,40292.0,41354,4251,8175,8246,51998.0
Los Angeles - Victoria Park,2636,31385.0,30522,355,4227,4114,8399.0
Los Angeles - View Heights,1304,35300.0,35105,77,2084,2140,3694.0
Los Angeles - Watts,15754,36917.0,39135,2858,6697,6975,42674.0
Los Angeles - Wellington Square,1988,40448.0,40137,202,4110,4141,4915.0
Los Angeles - West Adams,11147,40344.0,39386,1292,4676,4607,27630.0
Los Angeles - West Hills,15562,38382.0,39657,874,2156,2292,40545.0
Los Angeles - West Los Angeles,18331,48706.0,47621,781,2075,2111,37636.0
Los Angeles - West Vernon,21253,39619.0,39428,3439,6411,6397,53644.0
Los Angeles - Westchester,19683,38143.0,36848,700,1357,1281,51603.0
Los Angeles - Westlake,20799,35042.0,34207,3070,5172,5167,59355.0
Los Angeles - Westwood,26853,49628.0,40225,806,1490,1192,54109.0
Los Angeles - Wholesale District,32364,89579.0,77095,2903,8035,7111,36129.0
Los Angeles - Wilmington,15775,27927.0,28019,2470,4373,4334,56487.0
Los Angeles - Wilshire Center,17362,34606.0,33334,1705,3398,3313,50170.0
Los Angeles - Winnetka,19409,37479.0,36379,2350,4538,4438,51786.0
