Deaths_Race_Ethnicity(excluding_LB_Pas),Cases
American Indian/Alaska Native,17
Asian,1058
Black,697
Hispanic/Latino,3889
Native Hawaiian/Pacific Islander,23
White,1765
Other,46
Under Investigation,23
