"place_ID","longitude","latitude","population","cumulative_cases_today","adj_case_rate","cumulative_deaths_today","adj_death_rate","cumulative_persons_tested_today","adj_test_rate","cumulative_persons_pos_today","adj_test_pos_rate","geo_merge"
"Sylmar",-118.447155,34.313096,82398,4927,5903,97,140,31023,37096,4350,5202,"Los Angeles - Sylmar"
"Tarzana",-118.549107,34.156974,30876,1060,3365,37,75,12264,38897,881,2799,"Los Angeles - Tarzana"
"Temple Beaudry",-118.26774,34.069826,39482,1618,3953,31,87,14067,33198,1432,3503,"Los Angeles - Temple-Beaudry"
"Thai Town",-118.304431,34.102003,9809,279,2764,3,21,3443,32952,247,2497,"Los Angeles - Thai Town"
"Toluca Lake",-118.357673,34.15055,8704,150,2092,2,20,3768,47511,128,1807,"Los Angeles - Toluca Lake"
"Toluca Terrace",-118.35844,34.166653,1306,34,2715,1,72,458,34815,30,2399,"Los Angeles - Toluca Terrace"
"Toluca Woods",-118.357555,34.159662,1858,34,1911,0,0,758,46733,27,1622,"Los Angeles - Toluca Woods"
"Tujunga",-118.288497,34.25113,27810,808,2895,18,54,7767,26794,667,2388,"Los Angeles - Tujunga"
"University Hills",-118.168371,34.068093,3429,81,2297,1,19,1040,30236,72,2092,"Los Angeles - University Hills"
"University Park",-118.278835,34.027991,27456,1434,5292,21,138,9070,28894,1226,4570,"Los Angeles - University Park"
"Valley Glen",-118.426504,34.182525,30016,1037,3377,24,79,9207,29926,841,2744,"Los Angeles - Valley Glen"
"Valley Village",-118.395153,34.163461,24720,693,2845,28,93,10310,42443,569,2317,"Los Angeles - Valley Village"
"Van Nuys",-118.462798,34.201032,93194,4532,4859,102,136,28865,30475,3823,4070,"Los Angeles - Van Nuys"
"Venice",-118.462067,33.993791,33885,496,1869,3,9,13131,42810,366,1395,"Los Angeles - Venice"
"Vermont Knolls",-118.294776,33.968255,17200,887,5105,17,113,5537,32154,807,4642,"Los Angeles - Vermont Knolls"
"Vermont Square",-118.298043,33.999376,7657,440,5684,5,66,2743,35702,386,5002,"Los Angeles - Vermont Square"
"Vermont Vista",-118.282068,33.954326,41186,2431,6019,26,91,12937,32332,2258,5607,"Los Angeles - Vermont Vista"
"Vernon Central",-118.251565,34.000396,51998,3769,7357,47,134,18554,36728,3491,6779,"Los Angeles - Vernon Central"
"Victoria Park",-118.32462,34.044,8399,292,3340,3,29,2272,26287,245,2834,"Los Angeles - Victoria Park"
"View Heights",-118.348176,33.984966,3694,64,1754,3,63,1150,30839,62,1736,"Los Angeles - View Heights"
"Watts",-118.241149,33.940452,42674,2454,6031,37,139,13706,34219,2299,5611,"Los Angeles - Watts"
"Wellington Square",-118.333492,34.035815,4915,171,3477,2,47,1739,35067,159,3234,"Los Angeles - Wellington Square"
"West Adams",-118.307847,34.035612,27630,1180,4200,43,154,9877,34885,1013,3603,"Los Angeles - West Adams"
"West Hills",-118.63607,34.211472,40545,826,2103,41,63,13366,33664,636,1657,"Los Angeles - West Hills"
"West Los Angeles",-118.450481,34.040753,37636,697,1879,17,50,16036,41346,578,1562,"Los Angeles - West Los Angeles"
"West Vernon",-118.300192,34.000114,53644,2999,5567,57,137,18729,34739,2737,5097,"Los Angeles - West Vernon"
"Westchester",-118.40607,33.952357,51603,632,1154,16,27,17121,31934,506,924,"Los Angeles - Westchester"
"Westlake",-118.272224,34.057208,59355,2941,5006,153,299,18280,30111,2555,4331,"Los Angeles - Westlake"
"Westwood",-118.438137,34.065931,54109,715,1078,6,12,22499,34169,548,836,"Los Angeles - Westwood"
"Wholesale District",-118.233106,34.041547,36129,2898,7056,35,118,30018,71074,2510,6104,"Los Angeles - Wholesale District"
"Wilmington",-118.253276,33.785869,56487,2322,4082,29,64,13384,23838,1898,3337,"Los Angeles - Wilmington"
"Wilshire Center",-118.295338,34.068376,50170,1497,2904,39,76,15142,28992,1335,2597,"Los Angeles - Wilshire Center"
"Winnetka",-118.575929,34.213111,51786,1973,3710,23,44,16780,31373,1763,3304,"Los Angeles - Winnetka"
"Woodland Hills",-118.604522,34.16635,68055,1477,2226,38,35,25710,37028,1245,1893,"Los Angeles - Woodland Hills"
