Deaths_Race_Ethnicity(excluding_LB_Pas),Cases
American Indian/Alaska Native,16
Asian,967
Black,649
Hispanic/Latino,3524
Native Hawaiian/Pacific Islander,20
White,1594
Other,40
Under Investigation,17
